symbol,address
LTO,0xd01409314acb3b245cea9500ece3f6fd4d70ea30
BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52
RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70
HIGH,0x71ab77b7dbb4fa7e017bc15090b2163221420282
wALV,0x256d1fce1b1221e8398f65f9b36033ce50b2d497
NEAR,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4
PRIME,0xb23d80f5fefcddaa212212f028021b41ded428cf
UwU,0x55c08ca52497e2f1534b59e2917bf524d4765257
CNC,0x9ae380f0272e2162340a5bb646c354271c0f5cfc
DINGER,0x9e5bd9d9fad182ff0a93ba8085b664bcab00fa68
NOIA,0xa8c8cfb141a3bb59fea1e2ea6b79b5ecbcd7b6ca
CPOOL,0x66761fa41377003622aee3c7675fc7b5c1c2fac5
BTBS,0x32e6c34cd57087abbd59b5a4aecc4cb495924356
PUNDIX,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38
PRO,0x226bb599a12c826476e3a771454697ea52e9e220
HUNT,0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5
AGLD,0x32353a6c91143bfd6c7d363b546e62a9a2489a20
ACH,0xed04915c23f00a313a544955524eb7dbd823143d
YGG,0x25f8087ead173b73d6e8b84329989a8eea16cf73
GFI,0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b
WHALE,0x9355372396e3f6daf13359b7b607a3374cc638e0
STOS,0x08c32b0726c5684024ea6e141c50ade9690bbdcc
ASH,0x64d91f12ece7362f91a6f8e7940cd55f05060b92
CLS,0x675bbc7514013e2073db7a919f6e4cbef576de37
TKX,0x667102bd3413bfeaa3dffb48fa8288819e480a88
PUNK,0x269616d549d7e8eaa82dfb17028d0b212d11232a
WILD,0x2a3bff78b79a009976eea096a51a948a3dc00e34
HORD,0x43a96962254855f16b925556f9e97be436a43448
STRK_1,0x74232704659ef37c08995e386a2e26cc27a8d7b1
XAI,0x35e78b3982e87ecfd5b3f3265b601c046cdbe232
CLV,0x80c62fe4487e1351b47ba49809ebd60ed085bf52
AVG,0xa41f142b6eb2b164f8164cae0716892ce02f311f
OKB,0x75231f58b43240c9718dd58b4967c5114342a86c
NTX,0xf0d33beda4d734c72684b5f9abbebf715d0a7935
FLX,0x3ea8ea4237344c9931214796d9417af1a1180770
BEND,0x0d02755a5700414b26ff040e1de35d337df56218
SIPHER,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511
eMAID,0x329c6e459ffa7475718838145e5e85802db2a303
GUILD,0x83e9f223e1edb3486f876ee888d76bfba26c475a
XAUt,0x68749665ff8d2d112fa859aa293f07a622782f38
HDRN,0x3819f64f282bf135d62168c1e513280daf905e06
SSV,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54
SIDUS,0x549020a9cb845220d66d3e9c6d9f9ef61c981102
WBNB,0x418d75f65a02b3d53b2418fb8e1fe493759c7605
GRO,0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7
ONDO,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3
SD,0x30d20208d987713f46dfd34ef128bb16c404d10f
BICO,0xf17e65822b568b3903685a7c9f496cf7656cc6c2
CWEB,0x505b5eda5e25a67e1c24a2bf1a527ed9eb88bf04
CHEX,0x9ce84f6a69986a83d92c324df10bc8e64771030f
MET,0x2ebd53d035150f328bd754d6dc66b99b0edb89aa
RVST,0x120a3879da835a5af037bb2d1456bebd6b54d4ba
OPUL,0x80d55c03180349fff4a229102f62328220a96444
IDEX,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae
SWFTC,0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e
AXL,0x467719ad09025fcc6cf6f8311755809d45a5e5f3
EUL,0xd9fcd98c322942075a5c3860693e9f4f03aae07b
FORT,0x41545f8b9472d758bb669ed8eaeeecd7a9c4ec29
XCN,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18
ALI,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181
BOBA,0x42bbfa2e77757c645eeaad1655e0911a7553efbc
ABT,0xb98d4c97425d9908e66e53a6fdf673acca0be986
A8,0x3e5a19c91266ad8ce2477b91585d1856b84062df
XEN,0x06450dee7fd2fb8e39061434babcfc05599a6fb8
PYUSD,0x6c3ea9036406852006290770bedfcaba0e23a0e8
NUM,0x3496b523e5c00a4b4150d6721320cddb234c3079
PAD,0xea7cc765ebc94c4805e3bff28d7e4ae48d06468a
ACX,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f
STRK,0xca14007eff0db1f8135f4c25b34de49ab0d42766
LIT,0xfd0205066521550d7d7ab19da8f72bb004b4c341
BADGER,0x3472a5a71965499acd81997a54bba8d852c6e53d
GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32
StETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
AJNA,0x9a96ec9b57fb64fbc60b423d1f4da7691bd35079
aEthWETH,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8
STAKE,0x0ae055097c6d159879521c384f1d2123d1f195e6
TRB,0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0
YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
wNXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde
BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
ABYSS,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6
UMA,0x04fa0d235c4abf4bcf4787af4cf447de572ef828
MATH,0x08d967bb0134f2d07f7cfb6e246680c53927dd30
WTAO,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44
0x0,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5
VERSE,0x249ca82617ec3dfb2589c4c17ab7ec9765350a18
Bonk,0x1151cb3d861920e07a38e03eead12c32178567f6
BLZ,0x5732046a883704404f284ce41ffadd5b007fd668
LPT,0x58b6a8a3302369daec383334672404ee733ab239
POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269
BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c
REPv2,0x221657776846890989a759ba2973e427dff5c9bb
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
AST,0x27054b13b1b798b345b591a4d22e6562d47ea75a
CREAM,0x2ba592f78db6436527729929aaf6c908497cb200
MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
QNT,0x4a220e6096b25eadb88358cb44068a3248254675
NMR,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671
EWTB,0x178c820f862b14f316509ec36b13123da19a6054
OWL,0x1a5f9352af8af974bfc03399e3767df6370d82e4
VEE,0x340d2bde5eb28c1eed91b2f790723e3b160613b7
REN,0x408e41876cccdc0f92210600ef50372656052a38
FUN,0x419d0d8bdd9af5e606ae2232ed285aff190e711b
CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45
BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53
LINK,0x514910771af9ca656af840dff83e8264ecf986ca
cDAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643
PIE,0x607c794cda77efb21f8848b7910ecf27451ae842
RLC,0x607f4c5bb672230e8672085532f7e901544a7375
GNO,0x6810e776880c02933d47db1b9fc05908e5386b96
GEEQ,0x6b9f031d718dded0d681c20cb754f97b3bb81b78
HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e
buidl_1,0x7b123f53421b1bf8533339bfbdc7c98aa94163db
SAN,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098
XRT,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7
LEND,0x80fb784b7ed66730e8b1dbd9820afd29931aab03
MDT_1,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26
OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26
UBT,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e
DIA,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419
PNT,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed
AKRO,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7
SXP,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
USDP,0x8e870d67f660d95d5be530380d0ec0bd388289e1
REQ,0x8f8221afbb33998d8584a2b05749ba73c37a938a
ORN,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a
PNK,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d
ANTv1,0x960b236a07cf122663c4303350609a66a7b288c0
OCEAN,0x967da4048cd07ab37855c090aaf366e4ce1b9f48
STRONG,0x990f341946a3fdb507ae7e52d17851b87168017c
POLY,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
DZAR,0x9cb2f26a23b8d89973f08c957c4d7cdf75cd341c
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
YFII,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83
MTA,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2
CEL,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
PERL,0xeca82185adce47f39c684352b0439f030f860318
REL,0xb6c4267c4877bb0d6b1685cfd85b0fbe82f105ec
BAL,0xba100000625a3754423978a60c9317c58a424e3d
BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55
LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd
eMTRG,0xbd2949f67dcdc549c6ebe98696449fa79d988a9f
ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
COMP,0xc00e94cb662c3520282e6f5717214004a7f26888
SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
ALEPH,0x27702a26126e0b3702af63ee09ac4d1a084ef628
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
SWAP,0xcc4304a31d09258b0029ea7fe63d032f52e44efe
OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07
AMPL,0xd46ba6d942050d489dbd938a2c909a5d5039a161
CND,0xd4c435f5b09f855c3317c8524cb1f586e42795fa
PLU,0xd8912c10681d8b21fd3742244f44658dba12264e
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7
EURS,0xdb25f211ab05b1c97d595516f45794528a807ad8
KNCL,0xdd974d5c2e2928dea5f71b9825b8b646686bd200
MFT,0xdf2c7238198ad8b389666574f2d8bc411a4b7428
PLR,0xe3818504c1b32bf1557b16c238b2e01fd3149c17
ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
2KEY,0xe48972fcd82a274411c01834e2f031d4377fa2c0
renBTC,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d
MLN,0xec67005c4e498ec7f55e092bd1d35cbc47c91892
ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
IND,0xf8e386eda857484f5a12e4b5daa9984e06e73705
ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
CHAI,0x06af07097c9eeb7fd685c692751d5c66db49c215
cUSDC,0x39aa39c021dfbae8fac545936693ac917d5e7563
HT,0x6f259637dcd74c767781e37bc6133cd6a68aa161
MATIC,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
DAI,0x6b175474e89094c44da98b954eedeac495271d0f
SAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51
TUSD,0x0000000000085d4780b73119b644ae5ecd22b376
GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd
XPR,0xd7efb00d12c2c13131fd319336fdf952525da2af
KEEP,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec
DONUT,0xc0f9bd5fa5698b6505f643900ffa515ea5df54a9
PAXG,0x45804880de22913dafe09f4980848ece6ecbaf78
STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac
SALT,0x4156d3342d5c385a87d264f90653733592000581
RARI,0xfca59cd816ab1ead66534d82bc21e7515ce441cf
pBTC,0x5228a22e72ccc52d415ecfd199f99d0665e7733b
SRM,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff
YAM,0x0aacfbec6a24756c20d41914f2caba817c0d8521
ADX,0xade00c28244d5ce17d72e40330b1c318cd12b7c3
CRV,0xd533a949740bb3306d119cc777fa900ba034cd52
RING,0x9469d013805bffb7d3debe5e7839237e535ec483
CTSI,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d
LAYER,0x0ff6ffcfda92c53f615a4a75d982f399c989366b
TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
USDN,0x674c6ad92fd080e4004b2312b45f796a192d27a0
PRQ,0x362bc847a3a9637d3af6624eec853618a43ed7d2
HAKKA,0x0e29e5abbb5fd88e28b2d355774e73bd47de3bcd
CVP,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1
SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2
DSLA,0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe
FSW,0xfffffffff15abf397da76f1dcc1a1604f45126db
MXX,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018
yUSD,0x5dbcf33d8c2e976c6b560249878e6f1491bca25c
DPI,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b
GHST,0x3f382dbd960e3a9bbceae22651e88158d2791550
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
PICKLE,0x429881672b9ae42b8eba0e26cd9c73711b891ca5
FRONT,0xf8c3527cc04340b208c854e985240c02f7b7793f
FARM,0xa0246c9032bc3a600820415ae600c6388619a14d
GOF,0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c
OUSD,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
DODO,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd
CORE,0x62359ed7505efc61ff1d56fef82158ccaffa23d7
PERP,0xbc396689893d065f41bc2c6ecbee5e0085233447
mUSD,0xe2f2a5c287993345a840db3b0845fbc70f5935a5
ZEE,0x2edf094db69d6dcd487f1b3db9febe2eec0dd4c5
HEGIC,0x584bc13c7d411c00c01a62e8019472de68768430
AMP,0xff20817765cb7f73d4bde2e66e067e58d11095c2
BOND,0x0391d2021f89dc339f60fff84546ea23e337750f
ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e
FUSE,0x970b9bb2c0444f5e81e9d0efb84c8ccdcdcaf84d
KP3R,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44
VOICE,0x2e2364966267b5d7d2ce6cd9a9b5bd19d9c7c6a9
HEZ,0xeef9f339514298c6a857efcfc1a762af84438dee
AUDIO,0x18aaa7115705e8be94bffebde57af9bfc265b998
INDEX,0x0954906da0bf32d5479e25f46056d22f08464cab
APY,0x95a4492f028aa1fd432ea71146b433e7b4446611
AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b
Yf-DAI,0xf4cd3d3fda8d7fd6c5a500203e38640a70bf9577
POLS,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa
RFuel,0xaf9f549774ecedbd0966c52f250acc548d3f36e5
UFT,0x0202be363b8a4820f3f4de7faf5224ff05943ab1
LGCY,0xae697f994fc5ebc000f8e22ebffee04612f98a0d
PLOT,0x72f020f8f3e8fd9382705723cd26380f8d0c66bb
SFI,0xb753428af26e81097e7fd17f40c88aaa3e04902c
MPH,0x8888801af4d980682e47f1a9036e589479e835c5
eXRD,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414
BOOST,0x3e780920601d61cedb860fe9c4a90c9ea6a35e78
DF,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0
NU,0x4fe83213d56308330ec302a8bd641f1d0113a4cc
QRX,0x6e0dade58d2d89ebbe7afc384e3e4f15b70b14d8
VAL,0xe88f8313e61a97cec1871ee37fbbe2a8bf3ed1e4
API3,0x0b38210ea11411557c13457d4da7dc6ea731b88a
PIPT,0x26607ac599266b21d13c7acf7942c7701a8b699c
BASE,0x07150e919b4de5fd6a63de1f9384828396f25fdc
BONDLY,0x91dfbee3965baaee32784c2d546b7a0c62f268c9
NEXO,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
UTK,0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c
POND,0x57b946008913b82e4df85f501cbaed910e58d26c
OMv2,0x3593d125a4f7849a1b059e64f4517a86dd60c95d
FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
1INCH,0x111111111117dc0aa78b770fa6a738034120c302
WOZX,0x34950ff2b487d9e5282c5ab342d08a2f712eb79f
FOX,0xc770eefad204b5180df6a14ee197d99d808ee52d
WISE,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6
COMBO,0xffffffff2ba8f66d4e51811c5190992176930278
FET,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85
PHA,0x6c5ba91642f10282b576d91922ae6448c9d52f4e
FRAX,0x853d955acef822db058eb8505911ed77f175b99e
INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30
CFi,0x63b4f3e3fa4e438698ce330e365e831f7ccd1ef4
RGT,0xd291e7a03283640fdc51b121ac401383a46cc623
NFTX,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776
SDT,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f
ANKR,0x8290333cef9e6d528dd5618fb97a76f268f3edd4
DIP_Insurance,0xc719d010b63e5bbf2c0551872cd5316ed26acd83
RUNE,0x3155ba85d5f96b2d030a4966af206230e46849cb
BAO,0x374cb8c27130e2c9e04f44303f3c8351b9de61c1
REEF,0xfe3e6a25e6b192a42a44ecddcd13796471735acf
TRU,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784
MARK,0x67c597624b17b16fb77959217360b7cd18284253
ZERO,0xf0939011a9bb95c3b791f0cb546377ed2693a574
ORAI,0x4c11249814f11b9346808179cf06e71ac328c1b5
